source,target,edge_type,post_ids
doh.wa.gov,linimentcake.bsky.social,repost,at://did:plc:inuaklxxoegr7bd7vatjopfi/app.bsky.feed.post/3mk44xihugk2o
doh.wa.gov,glubtier.bsky.social,repost,at://did:plc:inuaklxxoegr7bd7vatjopfi/app.bsky.feed.post/3mk44xihugk2o
thebulwark.com,katym31.bsky.social,reply,at://did:plc:ekvvgidad65gishjknky27ot/app.bsky.feed.post/3mk3wqki42s2q
randic4.bsky.social,katym31.bsky.social,repost,at://did:plc:ekvvgidad65gishjknky27ot/app.bsky.feed.post/3mk3wqki42s2q
thebulwark.com,citizenaspeaks.bsky.social,reply,at://did:plc:ekvvgidad65gishjknky27ot/app.bsky.feed.post/3mk3wqki42s2q
randic4.bsky.social,citizenaspeaks.bsky.social,repost,at://did:plc:ekvvgidad65gishjknky27ot/app.bsky.feed.post/3mk3wqki42s2q
browneyedsusan.bsky.social,project2025kills.bsky.social,reply,at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g
browneyedsusan.bsky.social,karenm27.bsky.social,reply,at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g
browneyedsusan.bsky.social,carriehighlander2.bsky.social,reply,at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g
browneyedsusan.bsky.social,mistywaves.bsky.social,reply,at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g
browneyedsusan.bsky.social,rjgny.bsky.social,reply,"at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g, at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mjpbqrqtzs2b"
browneyedsusan.bsky.social,bessieglass11.bsky.social,reply,at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g
browneyedsusan.bsky.social,calamityjane19.bsky.social,reply,at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g
browneyedsusan.bsky.social,simmonsmoake.bsky.social,reply,at://did:plc:qigfidlbmgo7pbud55ltckl6/app.bsky.feed.post/3mk3tlflsq22g
